group_id,book_code
16431,16431.0
44551,44551.0
75051,75051.0
32993,32993.0
46770,46770.0
11759,11759.0
61295,61295.0
76224,76224.0
113125,113125.0
19993,19993.0
43554,43554.0
48881,48881.0
31958,31958.0
73034,73034.0
32925,32925.0
53268,53268.0
54950,54950.0
43251,43251.0
50572,50572.0
79524,79524.0
79524,117924.0
15469,93835.0
15469,15469.0
37340,37340.0
17276,17276.0
39349,39349.0
15616,15616.0
24689,24689.0
28941,28941.0
97475,97475.0
41233,41233.0
121068,121068.0
22320,22320.0
116462,116462.0
23831,23831.0
102277,102277.0
90337,90337.0
106935,106935.0
95430,95430.0
17322,17322.0
17322,69897.0
82424,82424.0
64585,64585.0
74705,74705.0
52719,52719.0
28000,28000.0
6936,6936.0
55939,55939.0
28834,28834.0
45305,45305.0
18951,18951.0
54131,54131.0
106610,106610.0
40168,40168.0
14383,14383.0
44835,44835.0
24315,24315.0
95613,95613.0
16626,16626.0
13851,13851.0
47105,47105.0
17661,17661.0
86296,86296.0
85177,85177.0
115699,115699.0
106761,106761.0
58809,58809.0
19130,19130.0
72247,72247.0
72247,104176.0
60109,60109.0
112609,112609.0
3721,3721.0
106149,106149.0
116994,116994.0
104136,104136.0
28676,28676.0
85455,85455.0
12440,12440.0
19767,19767.0
121175,121175.0
103452,103452.0
112031,112031.0
93627,93627.0
86671,86671.0
5730,5730.0
100322,100322.0
26544,26544.0
82483,82483.0
120685,120685.0
56611,56611.0
90395,90395.0
17685,17685.0
25407,25407.0
116058,116058.0
83751,83751.0
2624,2624.0
2624,119923.0
40693,40693.0
90538,90538.0
61408,61408.0
92333,92333.0
51246,51246.0
80224,80224.0
112518,112518.0
44960,44960.0
23267,23267.0
102066,102066.0
62030,62030.0
84602,84602.0
101655,101655.0
95787,95787.0
44210,44210.0
96380,96380.0
121045,121045.0
41874,41874.0
76195,76195.0
45930,45930.0
116710,116710.0
88603,88603.0
9228,9228.0
66028,66028.0
46564,46564.0
29609,29609.0
3592,3592.0
3592,86871.0
3592,43275.0
22088,97483.0
22088,49957.0
22088,22088.0
96525,96525.0
111932,111932.0
100613,100613.0
14848,14848.0
116540,116540.0
67363,67363.0
45642,45642.0
40451,40451.0
86519,86519.0
49760,49760.0
1038,1038.0
1038,35375.0
7549,7549.0
8428,8428.0
76800,76800.0
83320,83320.0
93972,93972.0
97925,97925.0
116855,116855.0
39945,39945.0
114647,114647.0
47876,47876.0
97956,97956.0
61796,61796.0
116857,116857.0
102774,102774.0
97055,97055.0
72721,72721.0
67109,67109.0
17924,17924.0
10591,10591.0
48020,48020.0
50754,50754.0
84913,84913.0
27391,27391.0
48848,48848.0
48848,68711.0
94309,94309.0
114859,114859.0
116962,116962.0
11647,11647.0
87108,87108.0
14639,14639.0
14639,76588.0
3071,3071.0
74961,74961.0
105326,105326.0
85000,85000.0
74951,74951.0
108377,108377.0
35947,35947.0
52723,52723.0
74598,
88088,88088.0
5141,5141.0
5141,5142.0
5141,34296.0
5141,54985.0
60373,60373.0
83584,83584.0
40063,40063.0
114191,114191.0
80883,80883.0
58467,58467.0
117649,117649.0
121026,121026.0
120065,120065.0
2162,2162.0
67680,67680.0
34472,34472.0
30395,30395.0
94935,94935.0
14643,106163.0
14643,14643.0
19759,19759.0
113870,113870.0
119993,119993.0
31793,31793.0
60216,60216.0
16073,16073.0
95693,95693.0
13110,13110.0
41064,41064.0
111832,111832.0
15113,15113.0
111900,111900.0
105334,105334.0
105334,105893.0
105334,105894.0
19929,19929.0
13541,13541.0
68329,68329.0
71149,71149.0
20044,20044.0
65943,65943.0
12952,12952.0
33560,33560.0
4394,4394.0
4394,57005.0
9226,9226.0
33618,33618.0
33618,43617.0
90292,90292.0
94138,94138.0
108645,108645.0
14945,14945.0
16603,16603.0
58434,58434.0
115089,115089.0
24208,24208.0
90800,90800.0
91134,91134.0
47924,47924.0
9625,9625.0
115343,115343.0
22926,22926.0
108706,108706.0
22733,22733.0
28247,28247.0
114593,114593.0
50157,50157.0
76748,76748.0
43119,43119.0
4541,4541.0
73285,73285.0
54845,54845.0
108439,108439.0
107898,107898.0
92160,92160.0
65446,65446.0
82802,82802.0
98770,98770.0
48322,48322.0
4360,4360.0
4360,4652.0
4360,34965.0
76782,76782.0
111298,111298.0
63878,63878.0
118097,118097.0
71663,
86920,86920.0
24914,24914.0
38615,38615.0
54989,106015.0
54989,120057.0
54989,54989.0
99837,99837.0
52385,52385.0
46077,55328.0
46077,62835.0
46077,62836.0
46077,96830.0
46077,46077.0
72062,72062.0
54664,54664.0
87680,87680.0
55241,55241.0
26182,26182.0
36184,36184.0
59982,59982.0
61286,61286.0
1827,1827.0
33407,33407.0
57049,57049.0
47823,47823.0
31372,31372.0
45140,45140.0
71947,71947.0
109716,109716.0
73557,73557.0
14892,14892.0
53699,53699.0
90527,90527.0
9242,9242.0
89367,89367.0
13176,13176.0
56857,56857.0
56857,57165.0
119844,119844.0
80931,80931.0
30156,30156.0
57427,57427.0
61635,61635.0
29941,29941.0
16792,16792.0
48265,48265.0
30352,30352.0
70954,
23177,23177.0
40347,40347.0
100776,100776.0
55108,55108.0
88749,88749.0
59567,59567.0
9600,9600.0
74473,74473.0
12213,12213.0
15820,15820.0
87102,87102.0
95947,95947.0
63745,63745.0
55337,55337.0
28248,28248.0
81683,81683.0
67093,67093.0
119841,119841.0
114687,114687.0
43071,43071.0
116163,116163.0
37524,37524.0
93176,93176.0
49081,49081.0
75596,75596.0
84977,84977.0
21725,21725.0
23564,23564.0
36018,36018.0
2678,2678.0
100210,100210.0
116630,116630.0
30367,96867.0
30367,30367.0
29955,29955.0
98592,98592.0
83964,83964.0
106663,106663.0
7232,7232.0
59507,59507.0
109538,109538.0
1451,1451.0
1451,117930.0
1451,8479.0
1451,105486.0
1451,120935.0
1451,8480.0
1451,37928.0
1451,10220.0
109647,109647.0
10755,10755.0
102900,102900.0
25371,25371.0
62080,62080.0
38016,38016.0
91137,91137.0
97843,97843.0
682,682.0
39376,39376.0
80886,80886.0
63431,63431.0
106676,106676.0
64095,64095.0
49302,49302.0
21185,21185.0
81301,81301.0
19637,19637.0
111958,111958.0
80446,80446.0
31797,31797.0
119334,119334.0
75627,75627.0
108337,108337.0
64385,64385.0
40195,40195.0
111254,111254.0
46414,46414.0
32290,32290.0
102527,102527.0
12734,12734.0
57347,57347.0
35362,35362.0
87788,87788.0
97390,97390.0
76397,76397.0
76397,79019.0
79494,79494.0
20992,20992.0
108486,108486.0
76697,76697.0
12283,12283.0
63944,63944.0
46312,46312.0
103883,103883.0
24778,24778.0
36064,36064.0
38169,38169.0
72852,72852.0
35374,35374.0
42191,42191.0
64722,64722.0
105691,105691.0
104961,104961.0
17980,17980.0
113888,113888.0
42864,42864.0
114314,114314.0
93816,93816.0
52122,52122.0
74484,74484.0
7899,7899.0
28234,28234.0
51993,51993.0
65987,65987.0
35053,35053.0
59551,59551.0
32899,32899.0
115892,115892.0
84662,84662.0
33496,33496.0
46527,46527.0
110355,110355.0
98447,98447.0
59564,59564.0
10150,10150.0
38417,38417.0
95820,95820.0
35496,35496.0
76905,76905.0
52177,52177.0
6681,6681.0
37043,37043.0
25470,25470.0
120120,120120.0
98843,98843.0
51786,51786.0
87884,87884.0
72427,72427.0
72427,72428.0
72427,72431.0
72427,72432.0
29375,29375.0
29375,58920.0
1188,1188.0
83105,83105.0
5973,5975.0
5973,5973.0
1051,1051.0
1051,32520.0
28719,28719.0
51978,51978.0
29871,29871.0
7403,7403.0
7403,20461.0
33969,33969.0
117283,117283.0
117283,117314.0
21171,21171.0
110971,110971.0
16768,16768.0
49828,49828.0
46154,46154.0
53502,53502.0
14531,14531.0
2688,2688.0
90564,90564.0
119313,119313.0
49426,49426.0
111022,111022.0
88336,88336.0
26346,48565.0
26346,119518.0
26346,26346.0
21322,21322.0
9435,9435.0
96580,96580.0
37546,37546.0
13973,13973.0
39570,39570.0
89448,89448.0
45487,45487.0
38466,38466.0
7141,85911.0
7141,7141.0
82129,82129.0
82129,113712.0
