book_code,person_counter,role
16374,1759,translator
93469,1760,writer
57722,1761,writer
57722,1762,translator
54725,1763,writer
34458,1764,writer
86696,1765,writer
75436,1766,writer
75436,1767,translator
82340,1768,writer
82340,157,translator
101942,1769,writer
101942,1770,translator
25422,1771,writer
25422,1772,translator
44655,1773,writer
44655,1774,translator
35665,1775,writer
35665,1776,translator
96537,1777,writer
96537,1778,translator
81168,1559,writer
84957,1779,writer
14421,1780,writer
105161,1781,writer
69024,1782,writer
68064,592,writer
105835,1783,writer
38790,1784,writer
111324,1785,writer
52172,1786,writer
52172,1331,translator
11896,1788,writer
11896,1789,translator
40332,1472,writer
69028,1782,writer
69028,1872,translator
48769,1796,writer
48769,916,translator
74651,497,writer
71220,1797,writer
71220,1798,translator
49948,1799,writer
49948,1800,translator
120751,1804,writer
120751,1805,translator
7661,1806,writer
56144,1807,writer
56144,1808,translator
36317,1809,writer
36317,262,translator
104321,1810,writer
104321,170,translator
100961,1811,writer
100961,1812,translator
12691,1813,writer
12691,95,translator
33867,1814,writer
33867,1815,translator
12456,1816,writer
12456,1817,translator
70005,1818,writer
37677,1820,writer
37677,1821,translator
106901,65,writer
106901,66,translator
15110,1111,translator
24390,1823,writer
24390,1824,translator
44412,1825,writer
44412,1826,translator
33201,1827,writer
71664,1828,writer
71664,1228,translator
17434,1829,writer
17434,830,translator
36645,1830,writer
36645,978,translator
79648,1833,writer
79648,1834,translator
16231,1835,writer
16231,1836,translator
81395,1023,writer
81395,170,translator
81395,1837,translator
109757,1838,writer
109577,1839,writer
109577,1840,translator
121392,1841,writer
121392,1842,writer
30643,589,writer
75136,1844,writer
55778,1845,writer
45368,1846,writer
45368,1847,translator
80536,1848,writer
8951,587,writer
46943,657,writer
46943,1849,translator
71562,1850,writer
65915,1852,writer
71562,1851,translator
65915,170,translator
65915,1853,translator
115603,1005,writer
115603,1006,translator
40216,67,writer
40216,366,writer
97924,1854,writer
30682,1855,writer
111228,1856,writer
119755,1857,writer
119755,1858,translator
7937,1860,writer
43575,1859,writer
31279,1863,writer
7414,1445,writer
101557,1865,writer
106906,1866,writer
117611,1867,writer
30752,1868,writer
53844,67,writer
53844,1869,writer
53844,1870,translator
92930,1871,writer
92930,1872,translator
92667,1873,writer
92667,1874,translator
103415,1875,writer
103415,1876,translator
21655,1877,writer
17589,1879,writer
17589,801,translator
17589,1880,translator
87534,1881,writer
87534,1882,writer
115985,1883,writer
115985,1884,translator
113670,1885,writer
113670,1886,translator
116538,1887,writer
116538,1888,translator
116538,1889,translator
59823,1890,writer
59823,1891,translator
72777,67,writer
72777,1892,writer
56113,1893,writer
57980,1894,writer
27521,560,writer
27521,1895,translator
97391,1896,writer
47357,321,writer
103061,1897,writer
103061,1898,translator
110062,1728,writer
84747,1250,writer
84747,1899,translator
111282,67,writer
111282,1900,translator
110647,1901,writer
65518,1902,writer
19642,429,writer
87020,1905,writer
94963,1906,writer
65233,1909,writer
65233,1910,translator
52039,1912,writer
52039,1913,translator
90977,1914,writer
48578,1915,writer
48578,1916,translator
74683,1917,writer
74683,1918,translator
40799,1919,writer
40799,1920,translator
45451,1923,writer
45451,1924,translator
58102,1925,writer
58102,1926,translator
85798,1927,writer
85798,1928,translator
87266,1929,writer
87266,1930,translator
87266,1931,translator
55775,1932,writer
68438,155,writer
24790,1933,writer
101748,1934,writer
62895,1935,writer
80661,1936,writer
83072,1937,writer
20707,1938,writer
98243,1939,writer
98243,1940,translator
45727,1942,writer
45727,1943,translator
4458,1946,writer
4458,1947,translator
101228,1948,writer
79598,1949,writer
85269,1950,writer
85269,1951,translator
22961,1952,writer
22961,237,translator
27603,1953,writer
27603,1954,translator
101500,1955,writer
101500,1956,translator
60952,1957,writer
60952,1958,translator
105730,1959,writer
105730,1960,translator
83590,102,writer
112260,289,writer
111031,1962,writer
102904,1963,writer
45123,1964,writer
120711,1965,writer
86878,67,writer
86878,1967,writer
116800,1968,writer
116800,1969,translator
61755,1970,writer
61755,1971,translator
5332,1972,writer
5332,1973,translator
91467,1974,writer
91467,1975,writer
50121,1976,writer
50121,1977,translator
58654,1978,writer
58654,1979,translator
51074,647,writer
51074,1669,translator
82354,1367,writer
82354,1980,translator
97192,1981,writer
77419,1982,writer
94798,1983,writer
86204,1984,writer
36299,1985,writer
36299,1986,translator
55377,67,writer
55377,1987,translator
55377,1988,translator
95701,1989,writer
95701,1990,translator
18564,1991,writer
18564,1992,translator
115741,1993,writer
115741,1994,translator
58975,1995,writer
58975,1996,translator
112509,481,writer
112509,1557,translator
109153,404,writer
11743,591,writer
17028,553,writer
17028,1997,translator
94200,1998,writer
94200,1999,translator
73176,2000,writer
73176,2001,translator
61959,2002,writer
61959,2003,translator
18550,2004,writer
18550,2005,translator
25062,155,writer
47065,2006,writer
47065,2007,translator
35055,2008,writer
89822,67,writer
63907,2009,writer
63907,2010,translator
62042,2011,writer
51839,2012,writer
54852,2013,writer
62190,2014,writer
62190,2015,translator
64887,509,writer
64887,2016,writer
64887,2017,translator
63297,2018,writer
110400,2019,writer
83451,2020,writer
83451,2021,translator
92813,67,writer
92813,2022,writer
38289,2023,writer
75688,2024,writer
2160,2025,writer
2160,2026,translator
115058,2027,writer
111178,2028,writer
111178,2029,translator
11414,2030,writer
11414,2031,translator
29723,2032,writer
29723,2033,translator
121212,2034,writer
121212,2035,translator
121212,2036,translator
15499,2037,writer
15499,2038,translator
104986,67,writer
104986,2039,writer
20218,2040,writer
20218,116,translator
16501,2041,writer
23150,2042,writer
23150,932,translator
69485,2043,writer
69485,2044,translator
