book_code,person_counter,role
12734,451,translator
87788,452,writer
87788,453,translator
35362,454,writer
97390,456,writer
79494,457,writer
20992,458,writer
20992,459,translator
108486,460,writer
76697,461,writer
12283,462,writer
63944,463,writer
63944,464,translator
46312,465,writer
20107,466,writer
20107,467,translator
13242,470,writer
13242,471,translator
24778,472,writer
47905,473,writer
47905,201,translator
36064,474,writer
36064,475,translator
72852,476,writer
72852,477,translator
38169,478,writer
64722,480,writer
105691,481,writer
105691,482,translator
47186,483,writer
47186,484,translator
104961,485,writer
104961,486,translator
17980,487,writer
42864,489,writer
93816,490,writer
114314,491,writer
114314,492,translator
51993,497,writer
59551,498,writer
28234,499,writer
28234,500,translator
32899,502,writer
32899,503,translator
115892,1409,writer
84662,504,writer
110355,505,writer
98447,506,writer
98447,507,translator
56623,508,writer
56623,118,translator
36217,509,writer
59564,513,writer
59564,514,translator
10150,516,writer
10150,517,translator
38417,518,writer
95820,519,writer
35496,520,writer
76905,521,writer
76905,522,translator
52177,523,writer
52177,524,translator
6681,525,writer
6681,526,translator
25470,528,writer
25470,529,translator
51786,532,writer
114259,533,writer
114259,534,translator
1188,535,writer
1188,536,translator
83105,537,writer
83105,538,translator
28719,539,writer
28719,540,translator
51978,67,writer
29871,541,writer
29871,542,translator
33969,543,writer
21171,544,writer
21171,545,translator
110971,546,writer
110971,534,translator
16768,547,writer
16768,548,translator
49828,549,writer
53502,553,writer
53502,554,translator
2688,397,writer
2688,555,translator
90564,125,writer
49426,556,writer
119313,557,writer
119313,558,translator
88336,559,writer
21322,560,writer
21322,264,translator
9435,561,writer
9435,562,translator
96580,563,writer
37546,564,writer
13973,567,writer
13973,568,translator
8821,569,writer
89448,570,writer
38466,571,writer
16835,572,writer
16835,573,translator
101327,574,writer
110450,575,writer
110450,576,translator
84279,577,writer
111348,578,writer
111348,579,translator
109491,582,writer
38094,583,writer
70678,584,writer
79475,585,writer
79475,586,translator
8950,587,writer
30646,589,writer
115309,588,writer
23087,590,writer
23087,298,translator
11740,591,writer
30844,606,writer
67552,592,writer
64669,67,writer
64669,593,writer
81831,594,writer
94519,597,writer
102798,598,writer
82966,599,writer
11809,129,writer
11809,600,translator
116099,601,writer
116099,250,translator
89819,602,writer
116271,603,writer
113650,604,writer
113650,605,translator
43527,606,writer
35386,607,writer
7972,609,writer
7972,610,writer
7972,611,writer
7972,612,translator
56590,608,writer
45246,613,writer
113818,614,writer
113818,615,translator
70230,616,writer
70230,617,translator
99394,618,writer
88839,619,writer
88839,620,translator
38378,621,writer
120410,622,writer
55508,623,writer
55508,624,translator
108169,625,writer
91095,626,writer
109334,627,writer
111602,628,writer
54368,629,writer
54368,630,translator
70741,631,writer
70741,632,translator
91110,633,writer
46721,634,writer
12288,635,writer
27792,636,writer
85743,637,writer
54711,638,writer
47729,640,writer
47729,201,translator
42712,641,writer
75256,642,writer
1971,610,writer
113494,643,writer
113494,644,translator
108314,645,writer
51083,647,writer
51083,648,translator
115674,649,writer
115674,650,translator
36742,651,writer
36742,652,translator
80598,655,writer
80598,656,translator
70986,657,writer
70986,658,translator
74162,659,writer
74162,660,translator
32390,661,writer
52581,662,writer
75233,663,writer
75233,170,translator
75233,664,translator
62108,665,writer
62108,666,translator
38708,667,writer
1850,668,writer
1850,669,translator
88288,671,writer
116246,673,writer
42678,672,writer
98360,674,writer
98360,675,translator
73670,676,writer
98885,680,writer
98885,681,translator
47847,682,writer
116016,688,writer
20438,683,writer
79366,684,writer
56747,685,writer
45482,690,writer
105864,692,writer
105864,693,translator
68208,1663,writer
86562,696,writer
86562,697,translator
108699,67,writer
108699,698,writer
108699,170,translator
108699,699,translator
117916,700,writer
117916,241,translator
58848,67,writer
58848,568,translator
95314,701,writer
70111,702,writer
70111,703,translator
94557,67,writer
94557,704,writer
121235,300,writer
65031,302,writer
34819,705,writer
43707,706,writer
43707,57,translator
56915,707,writer
36682,473,writer
36682,708,translator
59688,709,writer
106900,710,writer
51962,712,writer
51962,713,translator
