code,title_persian,title_english,price,discount,grade,code,shabak,page_count,release_year_sh,release_year_mi,exist,earliest_access,print_series,ghate,cover
82424,آموزش تاریخ در مدارس, Amoozesh Tarikh...,224000,20,3.75,82424,978-6226607070,408,1398,,True,1402-07-06,1,وزیری,شومیز
64585,ستاره باشیم, Setareh Bashim,20300,30,3.2,64585,978-6227733242,85,1400,,True,1402-07-08,1,رقعی,شومیز
74705,نامه های تهران, Tehran Letters,110500,15,3.77,74705,978-9643214913,522,1400,,True,1402-07-08,32,رقعی,شومیز
52719,آتا یعنی پدر, Ata ya'ni Pedar,18750,25,3.06,52719,978-9641560159,129,1400,,True,1402-07-08,1,رقعی,شومیز
28000,دیباچه ای بر جامعه شناسی سیاسی ایران, Political Sociology of Iran,64000,20,3.92,28000,978-9647763026,192,1400,2002,True,1402-07-08,9,رقعی,شومیز
6936,مهارت های زندگی ویژه زنان خشونت دیده, Life skills for women who have been violent,22500,25,3.46,6936,978-6005070132,192,1393,,True,1402-07-10,,وزیری,شومیز
55939,ارمغان شکست, The Gift of Failure,112500,25,3.58,55939,978-6008441618,308,1399,2014,True,1402-07-08,4,رقعی,شومیز
28834,آخرین زلزله ی تهران, The last earthquake in Tehran,10500,25,3.17,28834,978-6002295255,103,1400,,True,1402-07-10,2,رقعی,شومیز
45305,کودک و غذای جامد, Feeding Your Baby,14700,30,3.07,45305,978-9643495428,64,1392,2004,True,1402-07-10,3,وزیری,شومیز
18951,قصر گریپسهلم, Castle Gripsholm,135000,25,3.86,18951,978-9642430512,176,1398,1931,True,1402-07-10,2,رقعی,شومیز
54131,ترجمه های مانیفست کمونیست, Translations of the Communist Manifesto,105000,30,3.83,54131,978-6009986262,376,1398,,True,1402-07-06,1,رقعی,شومیز
106610,ساعت چند است؟, What Time Is It?,10500,30,3.55,106610,979-9648861364,24,1394,,True,1402-07-10,3,خشتی,شومیز
40168,ایران و ایرانیان, Histoire De L'iran Et Des Iraniens,223500,25,3.48,40168,978-6001760655,472,1402,2006,True,1402-07-10,6,وزیری,زرکوب
14383,صرفا در باب موسیقی, Absolutely on music,156000,20,3.58,14383,978-6009739738,248,1399,2011,True,1402-07-06,3,رقعی,شومیز
44835,خوددرمانی گام به گام افسردگی, Self-System Therapy for Depression,108000,20,3.37,44835,978-6002502506,168,1399,2017,True,1402-07-06,1,رقعی,شومیز
24315,ریاضیات زیبا, A Beautiful Math,102000,15,3.1,24315,978-9641852537,312,1401,2006,True,1402-07-08,13,رقعی,شومیز
95613,کاردستی های ساده و زیبا بسازیم (5), Just for fun,20250,25,3.84,95613,978-9643078911,32,1401,2012,True,1402-07-08,2,رحلی,شومیز
16626,فیلم نگاری یک داستان عاشقانه, Filmmaking a love story,6800,15,3.99,16626,978-6005639629,128,1395,,True,1402-07-08,1,رقعی,شومیز
13851,عرصه های کسالت, Selected Stories,16800,20,3.61,13851,978-0050595343,272,1396,,True,1402-07-06,1,رقعی,شومیز
47105,صفیر سیمرغ‏, Safir-e Simorq,72000,20,3.47,47105,978-9645996626,24,1401,,True,1402-07-06,4,رقعی,شومیز
17661,دوران یافته های دلچسب من, Short Stories,25500,15,3.9,17661,978-6222086626,140,1398,,True,1402-07-09,27,رقعی,شومیز
86296,دختر سمنگان, Dokhtar-e samangan,82500,25,3.42,86296,978-6001176524,200,1401,,True,1402-07-08,1,رقعی,شومیز
85177,آموزش عالی و تحولات فرهنگی, Amoozesh Aali Va Tahavolate Farhangi,64500,25,3.3,85177,978-6222260453,653,1398,,True,1402-07-08,1,رقعی,شومیز
115699,100 حقیقت درباره بدن انسان, 100‎ Facts On The Human Body,51000,25,3.79,115699,978-9645025579,48,1401,2007,True,1402-07-08,6,رحلی,شومیز
106761,حساب دیفرانسیل و انتگرال و هندسه تحلیلی, Calculus and analytic geometry,234000,10,3.6,106761,978-9640180396,748,1394,1951,True,1402-07-10,,,شومیز
58809,تلخیص تفسیر المیزان, Talkhis Tafsir-Al-Mizan,162000,10,3.43,58809,978-9643144708,334,1400,,True,1402-07-10,1,وزیری,شومیز
